rating,numVotes,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,S.no.,startYear_y,No of seasons available,Language,genre_y,rating_y,age
7.8,5150.0,The Tick,The Tick,0,2001,2002,23,"Action,Comedy,Sci-Fi",26,2018.0,2.0,English,"Comedy, Action",7.4,16+
7.4,16884.0,The Tick,The Tick,0,2016,2019,29,"Action,Adventure,Comedy",26,2018.0,2.0,English,"Comedy, Action",7.4,16+
7.3,7661.0,Lexx,Lexx,0,1996,2002,90,"Action,Adventure,Comedy",345,1997.0,4.0,English,Sci-fi,,13+
7.0,860.0,Water Rats,Water Rats,0,1996,2001,60,"Action,Crime,Drama",191,1996.0,7.0,English,Drama,,16+
8.0,85.0,Black Harbour,Black Harbour,0,1996,1999,\N,Drama,218,1997.0,2.0,English,Drama,,13+
2.7,65.0,Forever,Forever,0,1996,\N,\N,Mystery,301,2018.0,1.0,English,Comedy,7.2,16+
8.3,55092.0,Forever,Forever,0,2014,2015,43,"Crime,Drama,Fantasy",301,2018.0,1.0,English,Comedy,7.2,16+
7.1,6023.0,Forever,Forever,0,2018,2018,30,"Comedy,Drama,Fantasy",301,2018.0,1.0,English,Comedy,7.2,16+
7.2,34339.0,Johnny Bravo,Johnny Bravo,0,1997,2004,30,"Adventure,Animation,Comedy",293,1998.0,4.0,English,Kids,7.2,7+
6.0,50.0,The Simple Life,The Simple Life,0,1998,\N,30,Comedy,326,2004.0,4.0,English,Comedy,,16+
4.0,5522.0,The Simple Life,The Simple Life,0,2003,2007,22,"Comedy,Reality-TV",326,2004.0,4.0,English,Comedy,,16+
8.5,257.0,Legacy,Legacy,0,1998,1999,60,Drama,242,2017.0,1.0,Serbian,Action,,13+
8.6,15.0,Legacy,Legacy,0,2020,\N,\N,Drama,242,2017.0,1.0,Serbian,Action,,13+
7.6,11.0,Legacy,Legacy,0,2012,2012,\N,Drama,242,2017.0,1.0,Serbian,Action,,13+
8.5,52412.0,Spaced,Spaced,0,1999,2001,25,"Action,Comedy",360,1999.0,2.0,English,Comedy,,16+
8.5,44093.0,Coupling,Coupling,0,2000,2004,30,"Comedy,Romance",312,2000.0,4.0,English,Comedy,,16+
3.6,1065.0,Coupling,Coupling,0,2003,2003,30,"Comedy,Romance",312,2000.0,4.0,English,Comedy,,16+
5.2,112.0,Coupling,Coupling,0,2007,\N,45,"Comedy,Romance",312,2000.0,4.0,English,Comedy,,16+
6.2,788.0,Lifeline,Lifeline,0,2017,2017,25,"Action,Sci-Fi,Thriller",196,2018.0,1.0,Russian,Drama,,13+
7.2,3844.0,The Lost World,The Lost World,0,1999,2002,60,"Action,Adventure,Romance",232,2000.0,3.0,English,Action,,13+
6.7,3053.0,The Lost World,The Lost World,0,2001,\N,150,"Adventure,Drama,Fantasy",232,2000.0,3.0,English,Action,,13+
8.2,142.0,The Lost World,The Lost World,0,2002,\N,22,Animation,232,2000.0,3.0,English,Action,,13+
8.8,5751.0,Forensic Files,Forensic Files,0,1996,2011,30,"Crime,Documentary",230,1998.0,20.0,English,Documentary,,13+
5.9,319.0,Teen Wolf,Teen Wolf,0,1986,1988,30,"Adventure,Animation,Comedy",250,1986.0,2.0,English,Action,,7+
7.6,135354.0,Teen Wolf,Teen Wolf,0,2011,2017,41,"Action,Drama,Fantasy",250,1986.0,2.0,English,Action,,7+
7.1,131.0,Curious George,Curious George,0,1980,\N,6,"Animation,Family",292,2007.0,1.0,English,Kids,,All
7.2,1950.0,Curious George,Curious George,0,2006,2021,30,"Adventure,Animation,Comedy",292,2007.0,1.0,English,Kids,,All
6.9,11080.0,Mr. Bean: The Animated Series,Mr. Bean: The Animated Series,0,2002,2019,11,"Animation,Comedy,Family",264,2016.0,3.0,English,Comedy,6.8,13+
5.6,2740.0,Bananas in Pyjamas,Bananas in Pyjamas,0,1992,2001,\N,"Animation,Comedy,Family",324,2012.0,2.0,English,Kids,,All
4.6,155.0,Bananas in Pyjamas,Bananas in Pyjamas,0,2011,\N,12,"Animation,Family",324,2012.0,2.0,English,Kids,,All
7.1,451.0,The Adventures of Paddington Bear,The Adventures of Paddington Bear,0,1997,2000,23,"Adventure,Animation,Family",343,2007.0,3.0,English,Kids,7.1,All
7.3,609.0,Haunted,Haunted,0,2002,2002,60,"Crime,Drama,Horror",170,2005.0,1.0,French,Drama,,13+
7.9,8.0,Haunted,Haunted,0,2017,\N,\N,Reality-TV,170,2005.0,1.0,French,Drama,,13+
4.7,3019.0,Haunted,Haunted,0,2018,\N,24,"Horror,Reality-TV",170,2005.0,1.0,French,Drama,,13+
7.5,7871.0,Still Standing,Still Standing,0,2002,2006,30,"Comedy,Romance",388,2015.0,4.0,English,Comedy,,13+
6.4,1832.0,Still Standing,Still Standing,0,2015,\N,23,"Comedy,Reality-TV",388,2015.0,4.0,English,Comedy,,13+
6.7,25.0,Still Standing,Still Standing,0,2017,\N,\N,Game-Show,388,2015.0,4.0,English,Comedy,,13+
7.7,74999.0,One Tree Hill,One Tree Hill,0,2003,2012,60,"Drama,Romance,Sport",90,2004.0,9.0,English,Drama,,13+
7.0,248806.0,Two and a Half Men,Two and a Half Men,0,2003,2015,22,"Comedy,Romance",268,2003.0,12.0,English,Comedy,7.0,16+
6.0,42043.0,Joey,Joey,0,2004,2006,22,"Comedy,Romance",267,2005.0,1.0,English,Comedy,,7+
