rating,numVotes_x,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,age,startYear_y,rating_y,numVotes_y
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.5,270254.0,13 Reasons Why,13 Reasons Why,0,2017,2020,60,"Drama,Mystery,Thriller",TV-MA,2017,9.9,80
7.8,115892.0,Revenge,Revenge,0,2011,2015,44,"Drama,Mystery,Thriller",TV-PG,2015,8.4,80
7.8,115892.0,Revenge,Revenge,0,2011,2015,44,"Drama,Mystery,Thriller",TV-PG,2015,8.4,80
7.8,115892.0,Revenge,Revenge,0,2011,2015,44,"Drama,Mystery,Thriller",TV-PG,2015,8.4,80
8.4,168230.0,Person of Interest,Person of Interest,0,2011,2016,43,"Action,Crime,Drama",TV-14,2016,9.3,80
8.4,168230.0,Person of Interest,Person of Interest,0,2011,2016,43,"Action,Crime,Drama",TV-14,2016,9.3,80
6.2,18.0,Fantasia,Fantasia,0,1997,2008,120,Game-Show,G,1940,6.1,80
6.2,18.0,Fantasia,Fantasia,0,1997,2008,120,Game-Show,G,1940,6.1,80
6.2,18.0,Fantasia,Fantasia,0,1997,2008,120,Game-Show,G,1940,6.1,80
7.7,214303.0,Once Upon a Time,Once Upon a Time,0,2011,2018,60,"Adventure,Fantasy,Romance",TV-PG,2016,9.8,80
7.7,214303.0,Once Upon a Time,Once Upon a Time,0,2011,2018,60,"Adventure,Fantasy,Romance",TV-PG,2016,9.8,80
7.7,214303.0,Once Upon a Time,Once Upon a Time,0,2011,2018,60,"Adventure,Fantasy,Romance",TV-PG,2016,9.8,80
8.0,293083.0,American Horror Story,American Horror Story,0,2011,\N,60,"Drama,Horror,Thriller",TV-MA,2016,9.0,80
8.7,480612.0,House of Cards,House of Cards,0,2013,2018,51,Drama,TV-MA,2016,9.1,80
8.7,480612.0,House of Cards,House of Cards,0,2013,2018,51,Drama,TV-MA,2016,9.1,80
8.7,480612.0,House of Cards,House of Cards,0,2013,2018,51,Drama,TV-MA,2016,9.1,80
7.8,16663.0,Death in Paradise,Death in Paradise,0,2011,\N,60,"Comedy,Crime,Drama",TV-14,2016,7.7,80
6.6,11431.0,The Client List,The Client List,0,2011,2013,42,"Crime,Drama",TV-14,2013,9.2,80
6.6,11431.0,The Client List,The Client List,0,2011,2013,42,"Crime,Drama",TV-14,2013,9.2,80
6.6,11431.0,The Client List,The Client List,0,2011,2013,42,"Crime,Drama",TV-14,2013,9.2,80
6.6,11431.0,The Client List,The Client List,0,2011,2013,42,"Crime,Drama",TV-14,2013,9.2,80
6.6,11431.0,The Client List,The Client List,0,2011,2013,42,"Crime,Drama",TV-14,2013,9.2,80
7.3,14665.0,Brickleberry,Brickleberry,0,2012,2015,22,"Animation,Comedy",TV-MA,2014,6.3,80
8.8,478765.0,Black Mirror,Black Mirror,0,2011,\N,60,"Drama,Sci-Fi,Thriller",TV-MA,2016,8.0,80
8.8,478765.0,Black Mirror,Black Mirror,0,2011,\N,60,"Drama,Sci-Fi,Thriller",TV-MA,2016,8.0,80
8.8,478765.0,Black Mirror,Black Mirror,0,2011,\N,60,"Drama,Sci-Fi,Thriller",TV-MA,2016,8.0,80
